CaptureTime;HeadsetPos;HeadsetRotation;CombinedGazeForward;FocusDistance;FocusStability;CalcXEccentricity;CalcYEccentricity;LeftForward;RightForward;LeftPosition;RightPosition
1683585573339;(0.047943, 1.381242, -0.364127);(0.000000, 0.000000, 0.000000, 1.000000);(0.022479, 0.041005, 0.998906);0.5951442;0;1.3;2.4;(0.053102, 0.040411, 0.997771);(-0.049486, 0.040496, 0.997954);(-0.031, 0.000, 0.000);(0.031, 0.000, 0.000)
1683585573344;(0.047943, 1.381242, -0.364127);(0.000000, 0.000000, 0.000000, 1.000000);(0.023596, 0.041972, 0.998840);0.5757522;0;1.4;2.4;(0.054348, 0.040299, 0.997709);(-0.051510, 0.044606, 0.997676);(-0.031, 0.000, 0.000);(0.031, 0.000, 0.000)
1683585573349;(0.047943, 1.381242, -0.364127);(0.000000, 0.000000, 0.000000, 1.000000);(0.026611, 0.043768, 0.998687);0.544121;0;1.5;2.5;(0.057489, 0.040725, 0.997515);(-0.054051, 0.049171, 0.997327);(-0.031, 0.000, 0.000);(0.031, 0.000, 0.000)
1683585573354;(0.047943, 1.381242, -0.364127);(0.000000, 0.000000, 0.000000, 1.000000);(0.055484, 0.038920, 0.997701);2;0;3.2;2.2;(0.077956, 0.032208, 0.996436);;(-0.031, 0.000, 0.000);(0.000, 0.000, 0.000)
1683585573359;(0.047943, 1.381242, -0.364127);(0.000000, 0.000000, 0.000000, 1.000000);(0.071664, -0.011025, 0.997368);2;0;4.1;-0.6;(0.087195, -0.021877, 0.995951);;(-0.031, 0.000, 0.000);(0.000, 0.000, 0.000)
1683585573369;(0.047943, 1.381242, -0.364127);(0.000000, 0.000000, 0.000000, 1.000000);(0.176043, -0.172640, 0.969126);2;0;10.3;-10.1;(0.178158, -0.182285, 0.966970);;(-0.031, 0.000, 0.000);(0.000, 0.000, 0.000)
1683585573374;(0.047943, 1.381242, -0.364127);(0.000000, 0.000000, 0.000000, 1.000000);(0.190427, -0.185325, 0.964050);2;0;11.2;-10.9;(0.190785, -0.190947, 0.962881);;(-0.031, 0.000, 0.000);(0.000, 0.000, 0.000)
1683585573389;(0.047943, 1.381242, -0.364127);(0.000000, 0.000000, 0.000000, 1.000000);(0.184421, -0.124459, 0.974935);2;0;10.7;-7.3;(0.185294, -0.127337, 0.974398);;(-0.031, 0.000, 0.000);(0.000, 0.000, 0.000)
1683585573394;(0.047943, 1.381242, -0.364127);(0.000000, 0.000000, 0.000000, 1.000000);(0.154001, -0.096573, 0.983340);0.1433783;0;8.9;-5.6;(0.166508, -0.097571, 0.981201);(-0.005777, 0.109659, 0.993953);(-0.031, 0.000, 0.000);(0.031, 0.000, 0.000)
1683585573399;(0.047943, 1.381242, -0.364127);(0.000000, 0.000000, 0.000000, 1.000000);(0.132148, -0.086983, 0.987406);0.2703961;0;7.6;-5.0;(0.149306, -0.026177, 0.988445);(-0.053539, 0.039906, 0.997768);(-0.031, 0.000, 0.000);(0.031, 0.000, 0.000)
1683585573404;(0.047943, 1.381242, -0.364127);(0.000000, 0.000000, 0.000000, 1.000000);(0.125537, -0.057467, 0.990423);0.2914795;0;7.2;-3.3;(0.139514, -0.004361, 0.990211);(-0.052894, 0.051152, 0.997289);(-0.031, 0.000, 0.000);(0.031, 0.000, 0.000)
1683585573409;(0.047943, 1.381242, -0.364127);(0.000000, 0.000000, 0.000000, 1.000000);(0.111191, -0.028467, 0.993391);0.3113619;0;6.4;-1.6;(0.136505, 0.015214, 0.990523);(-0.052369, 0.049753, 0.997388);(-0.031, 0.000, 0.000);(0.031, 0.000, 0.000)
1683585573414;(0.047943, 1.381242, -0.364127);(0.000000, 0.000000, 0.000000, 1.000000);(0.094015, -0.004651, 0.995560);0.3307623;0;5.4;-0.3;(0.130174, 0.029007, 0.991067);(-0.051520, 0.048703, 0.997484);(-0.031, 0.000, 0.000);(0.031, 0.000, 0.000)
