CaptureTime;HeadsetPos;HeadsetRotation;CombinedGazeForward;FocusDistance;FocusStability;CalcXEccentricity;CalcYEccentricity;LeftForward;RightForward;LeftPosition;RightPosition
1683585854391;(0.051953, 1.392004, -0.406719);(0.000000, 0.000000, 0.000000, 1.000000);(-0.001497, 0.041626, 0.999132);1.132346;1;-0.1;2.4;(0.028041, 0.041997, 0.998724);(-0.031458, 0.041236, 0.998654);(-0.034, 0.000, 0.000);(0.034, 0.000, 0.000)
1683585854396;(0.051953, 1.392004, -0.406719);(0.000000, 0.000000, 0.000000, 1.000000);(-0.001546, 0.041538, 0.999136);1.135303;1;-0.1;2.4;(0.027901, 0.041870, 0.998734);(-0.031444, 0.041176, 0.998657);(-0.034, 0.000, 0.000);(0.034, 0.000, 0.000)
1683585854401;(0.051953, 1.392004, -0.406719);(0.000000, 0.000000, 0.000000, 1.000000);(-0.001582, 0.041404, 0.999141);1.13899;1;-0.1;2.4;(0.027757, 0.041674, 0.998746);(-0.031398, 0.041095, 0.998662);(-0.034, 0.000, 0.000);(0.034, 0.000, 0.000)
1683585854406;(0.051953, 1.392004, -0.406719);(0.000000, 0.000000, 0.000000, 1.000000);(-0.001605, 0.041271, 0.999147);1.142923;1;-0.1;2.4;(0.027623, 0.041501, 0.998757);(-0.031331, 0.040996, 0.998668);(-0.034, 0.000, 0.000);(0.034, 0.000, 0.000)
1683585854411;(0.051953, 1.392004, -0.406719);(0.000000, 0.000000, 0.000000, 1.000000);(-0.001624, 0.041109, 0.999153);1.147019;1;-0.1;2.4;(0.027491, 0.041302, 0.998768);(-0.031253, 0.040868, 0.998676);(-0.034, 0.000, 0.000);(0.034, 0.000, 0.000)
1683585854416;(0.051953, 1.392004, -0.406719);(0.000000, 0.000000, 0.000000, 1.000000);(-0.001638, 0.040927, 0.999161);1.150859;1;-0.1;2.3;(0.027374, 0.041100, 0.998780);(-0.031175, 0.040705, 0.998685);(-0.034, 0.000, 0.000);(0.034, 0.000, 0.000)
1683585854421;(0.051953, 1.392004, -0.406719);(0.000000, 0.000000, 0.000000, 1.000000);(-0.001653, 0.040724, 0.999169);1.153931;1;-0.1;2.3;(0.027280, 0.040864, 0.998792);(-0.031115, 0.040532, 0.998694);(-0.034, 0.000, 0.000);(0.034, 0.000, 0.000)
1683585854426;(0.051953, 1.392004, -0.406719);(0.000000, 0.000000, 0.000000, 1.000000);(-0.001671, 0.040509, 0.999178);1.156812;1;-0.1;2.3;(0.027188, 0.040609, 0.998805);(-0.031061, 0.040355, 0.998703);(-0.034, 0.000, 0.000);(0.034, 0.000, 0.000)
1683585854431;(0.051953, 1.392004, -0.406719);(0.000000, 0.000000, 0.000000, 1.000000);(-0.001684, 0.040290, 0.999187);1.159532;1;-0.1;2.3;(0.027110, 0.040346, 0.998818);(-0.031004, 0.040175, 0.998712);(-0.034, 0.000, 0.000);(0.034, 0.000, 0.000)
1683585854436;(0.051953, 1.392004, -0.406719);(0.000000, 0.000000, 0.000000, 1.000000);(-0.001693, 0.040062, 0.999196);1.162094;1;-0.1;2.3;(0.027039, 0.040075, 0.998831);(-0.030946, 0.039989, 0.998721);(-0.034, 0.000, 0.000);(0.034, 0.000, 0.000)
1683585854441;(0.051953, 1.392004, -0.406719);(0.000000, 0.000000, 0.000000, 1.000000);(-0.001699, 0.039807, 0.999206);1.164571;1;-0.1;2.3;(0.026978, 0.039789, 0.998844);(-0.030885, 0.039764, 0.998732);(-0.034, 0.000, 0.000);(0.034, 0.000, 0.000)
1683585854446;(0.051953, 1.392004, -0.406719);(0.000000, 0.000000, 0.000000, 1.000000);(-0.001706, 0.039542, 0.999216);1.167119;1;-0.1;2.3;(0.026912, 0.039500, 0.998857);(-0.030825, 0.039525, 0.998743);(-0.034, 0.000, 0.000);(0.034, 0.000, 0.000)
1683585854451;(0.051953, 1.392004, -0.406719);(0.000000, 0.000000, 0.000000, 1.000000);(-0.001713, 0.039403, 0.999222);1.16921;1;-0.1;2.3;(0.026859, 0.039451, 0.998860);(-0.030774, 0.039304, 0.998753);(-0.034, 0.000, 0.000);(0.034, 0.000, 0.000)
1683585854456;(0.051953, 1.392004, -0.406719);(0.000000, 0.000000, 0.000000, 1.000000);(-0.001715, 0.039261, 0.999228);1.170881;1;-0.1;2.3;(0.026824, 0.039408, 0.998863);(-0.030726, 0.039065, 0.998764);(-0.034, 0.000, 0.000);(0.034, 0.000, 0.000)
1683585854461;(0.051953, 1.392004, -0.406719);(0.000000, 0.000000, 0.000000, 1.000000);(-0.001753, 0.039121, 0.999233);1.174775;1;-0.1;2.2;(0.026680, 0.039340, 0.998870);(-0.030677, 0.038853, 0.998774);(-0.034, 0.000, 0.000);(0.034, 0.000, 0.000)
1683585854466;(0.051953, 1.392004, -0.406719);(0.000000, 0.000000, 0.000000, 1.000000);(-0.001785, 0.038932, 0.999240);1.178844;1;-0.1;2.2;(0.026541, 0.039172, 0.998880);(-0.030617, 0.038644, 0.998784);(-0.034, 0.000, 0.000);(0.034, 0.000, 0.000)
1683585854471;(0.051953, 1.392004, -0.406719);(0.000000, 0.000000, 0.000000, 1.000000);(-0.001802, 0.038754, 0.999247);1.18381;1;-0.1;2.2;(0.026396, 0.039119, 0.998886);(-0.030516, 0.038333, 0.998799);(-0.034, 0.000, 0.000);(0.034, 0.000, 0.000)
1683585854476;(0.051953, 1.392004, -0.406719);(0.000000, 0.000000, 0.000000, 1.000000);(-0.001802, 0.038392, 0.999261);1.187866;1;-0.1;2.2;(0.026296, 0.038982, 0.998894);(-0.030405, 0.037711, 0.998826);(-0.034, 0.000, 0.000);(0.034, 0.000, 0.000)
1683585854481;(0.051953, 1.392004, -0.406719);(0.000000, 0.000000, 0.000000, 1.000000);(-0.001816, 0.037802, 0.999284);1.189901;1;-0.1;2.2;(0.026218, 0.038673, 0.998908);(-0.030351, 0.036791, 0.998862);(-0.034, 0.000, 0.000);(0.034, 0.000, 0.000)
1683585854486;(0.051953, 1.392004, -0.406719);(0.000000, 0.000000, 0.000000, 1.000000);(-0.001852, 0.036983, 0.999314);1.193334;1;-0.1;2.1;(0.026085, 0.037981, 0.998938);(-0.030304, 0.035849, 0.998898);(-0.034, 0.000, 0.000);(0.034, 0.000, 0.000)
1683585854491;(0.051953, 1.392004, -0.406719);(0.000000, 0.000000, 0.000000, 1.000000);(-0.001886, 0.036088, 0.999347);1.196981;1;-0.1;2.1;(0.025947, 0.037208, 0.998971);(-0.030251, 0.034842, 0.998935);(-0.034, 0.000, 0.000);(0.034, 0.000, 0.000)
1683585854496;(0.051953, 1.392004, -0.406719);(0.000000, 0.000000, 0.000000, 1.000000);(-0.001928, 0.035213, 0.999378);1.200167;1;-0.1;2.0;(0.025818, 0.036397, 0.999004);(-0.030221, 0.033918, 0.998968);(-0.034, 0.000, 0.000);(0.034, 0.000, 0.000)
1683585854501;(0.051953, 1.392004, -0.406719);(0.000000, 0.000000, 0.000000, 1.000000);(-0.001959, 0.034481, 0.999403);1.202711;1;-0.1;2.0;(0.025705, 0.035848, 0.999027);(-0.030179, 0.032995, 0.999000);(-0.034, 0.000, 0.000);(0.034, 0.000, 0.000)
1683585854506;(0.051953, 1.392004, -0.406719);(0.000000, 0.000000, 0.000000, 1.000000);(-0.001993, 0.033891, 0.999424);1.205754;0.9991231;-0.1;1.9;(0.025575, 0.035421, 0.999045);(-0.030131, 0.032236, 0.999026);(-0.034, 0.000, 0.000);(0.034, 0.000, 0.000)
1683585854511;(0.051953, 1.392004, -0.406719);(0.000000, 0.000000, 0.000000, 1.000000);(-0.002022, 0.033395, 0.999440);1.20842;0.9990262;-0.1;1.9;(0.025456, 0.035118, 0.999059);(-0.030078, 0.031532, 0.999050);(-0.034, 0.000, 0.000);(0.034, 0.000, 0.000)
1683585854516;(0.051953, 1.392004, -0.406719);(0.000000, 0.000000, 0.000000, 1.000000);(-0.002034, 0.032966, 0.999454);1.209704;0.997524;-0.1;1.9;(0.025401, 0.034836, 0.999070);(-0.030033, 0.030950, 0.999070);(-0.034, 0.000, 0.000);(0.034, 0.000, 0.000)
1683585854521;(0.051953, 1.392004, -0.406719);(0.000000, 0.000000, 0.000000, 1.000000);(-0.002023, 0.032477, 0.999471);1.210318;0.980301;-0.1;1.9;(0.025385, 0.034523, 0.999082);(-0.029967, 0.030272, 0.999092);(-0.034, 0.000, 0.000);(0.034, 0.000, 0.000)
1683585854526;(0.051953, 1.392004, -0.406719);(0.000000, 0.000000, 0.000000, 1.000000);(-0.002011, 0.032047, 0.999484);1.210986;0.9773266;-0.1;1.8;(0.025351, 0.034348, 0.999088);(-0.029879, 0.029552, 0.999117);(-0.034, 0.000, 0.000);(0.034, 0.000, 0.000)
1683585854531;(0.051953, 1.392004, -0.406719);(0.000000, 0.000000, 0.000000, 1.000000);(-0.002016, 0.031769, 0.999493);1.212205;0.9635981;-0.1;1.8;(0.025310, 0.034159, 0.999096);(-0.029834, 0.029191, 0.999129);(-0.034, 0.000, 0.000);(0.034, 0.000, 0.000)
1683585854536;(0.051953, 1.392004, -0.406719);(0.000000, 0.000000, 0.000000, 1.000000);(-0.001999, 0.031415, 0.999504);1.213024;0.9530455;-0.1;1.8;(0.025304, 0.033926, 0.999104);(-0.029757, 0.028718, 0.999145);(-0.034, 0.000, 0.000);(0.034, 0.000, 0.000)
1683585854541;(0.051953, 1.392004, -0.406719);(0.000000, 0.000000, 0.000000, 1.000000);(-0.002081, 0.031196, 0.999511);1.210242;0.916266;-0.1;1.8;(0.025326, 0.033532, 0.999117);(-0.029939, 0.028733, 0.999139);(-0.034, 0.000, 0.000);(0.034, 0.000, 0.000)
1683585854546;(0.051953, 1.392004, -0.406719);(0.000000, 0.000000, 0.000000, 1.000000);(-0.002100, 0.030615, 0.999529);1.20791;0.880732;-0.1;1.8;(0.025356, 0.033039, 0.999132);(-0.029988, 0.028078, 0.999156);(-0.034, 0.000, 0.000);(0.034, 0.000, 0.000)
1683585854551;(0.051953, 1.392004, -0.406719);(0.000000, 0.000000, 0.000000, 1.000000);(-0.002072, 0.029615, 0.999559);1.207798;0.8205399;-0.1;1.7;(0.025397, 0.032076, 0.999163);(-0.029944, 0.027069, 0.999185);(-0.034, 0.000, 0.000);(0.034, 0.000, 0.000)
1683585854556;(0.051953, 1.392004, -0.406719);(0.000000, 0.000000, 0.000000, 1.000000);(-0.002143, 0.028758, 0.999584);1.208474;0.7966437;-0.1;1.6;(0.025387, 0.030841, 0.999202);(-0.030056, 0.026626, 0.999194);(-0.034, 0.000, 0.000);(0.034, 0.000, 0.000)
1683585854561;(0.051953, 1.392004, -0.406719);(0.000000, 0.000000, 0.000000, 1.000000);(-0.002260, 0.027318, 0.999624);1.215315;0.7288736;-0.1;1.6;(0.025193, 0.028742, 0.999269);(-0.030103, 0.025831, 0.999213);(-0.034, 0.000, 0.000);(0.034, 0.000, 0.000)
1683585854566;(0.051953, 1.392004, -0.406719);(0.000000, 0.000000, 0.000000, 1.000000);(-0.002430, 0.026189, 0.999654);1.21928;0.7041582;-0.1;1.5;(0.025027, 0.026571, 0.999334);(-0.030224, 0.025611, 0.999215);(-0.034, 0.000, 0.000);(0.034, 0.000, 0.000)
