sep=;
CaptureTime;HeadsetPos;HeadsetRotation;CombinedGazeForward;FocusDistance;FocusStability;CalcXEccentricity;CalcYEccentricity;LeftForward;RightForward;LeftPosition;RightPosition
1683584674298;(-0.007196, 1.317599, -0.239997);(0.000000, 0.000000, 0.000000, 1.000000);(0.008297, 0.048623, 0.998783);2;0;0.5;2.8;(0.019542, 0.038916, 0.999051);(-0.004833, 0.057328, 0.998344);(-0.030, 0.000, 0.000);(0.030, 0.000, 0.000)
1683584674303;(-0.007196, 1.317599, -0.239997);(0.000000, 0.000000, 0.000000, 1.000000);(0.007664, 0.048276, 0.998805);2;0;0.4;2.8;(0.018891, 0.038850, 0.999067);(-0.005337, 0.056060, 0.998413);(-0.030, 0.000, 0.000);(0.030, 0.000, 0.000)
1683584674308;(-0.007196, 1.317599, -0.239997);(0.000000, 0.000000, 0.000000, 1.000000);(0.007646, 0.047325, 0.998850);2;0;0.4;2.7;(0.018281, 0.038804, 0.999080);(-0.010319, 0.050982, 0.998646);(-0.030, 0.000, 0.000);(0.030, 0.000, 0.000)
1683584674313;(-0.007196, 1.317599, -0.239997);(0.000000, 0.000000, 0.000000, 1.000000);(0.007647, 0.046350, 0.998896);2;0;0.4;2.7;(0.017723, 0.038795, 0.999090);(-0.015173, 0.046307, 0.998812);(-0.030, 0.000, 0.000);(0.030, 0.000, 0.000)
1683584674318;(-0.007196, 1.317599, -0.239997);(0.000000, 0.000000, 0.000000, 1.000000);(0.006674, 0.045397, 0.998947);2;0;0.4;2.6;(0.017107, 0.038750, 0.999103);(-0.015380, 0.044025, 0.998912);(-0.030, 0.000, 0.000);(0.030, 0.000, 0.000)
1683584674323;(-0.007196, 1.317599, -0.239997);(0.000000, 0.000000, 0.000000, 1.000000);(0.005502, 0.044392, 0.998999);2;0;0.3;2.5;(0.016120, 0.038589, 0.999125);(-0.015740, 0.042301, 0.998981);(-0.030, 0.000, 0.000);(0.030, 0.000, 0.000)
1683584674328;(-0.007196, 1.317599, -0.239997);(0.000000, 0.000000, 0.000000, 1.000000);(0.005779, 0.043654, 0.999030);0.2144336;0;0.3;2.5;(0.015312, 0.038501, 0.999141);(-0.208422, 0.147458, 0.966859);(-0.030, 0.000, 0.000);(0.030, 0.000, 0.000)
1683584674333;(-0.007196, 1.317599, -0.239997);(0.000000, 0.000000, 0.000000, 1.000000);(0.006043, 0.043054, 0.999055);0.1135486;0;0.3;2.5;(0.014619, 0.038458, 0.999153);(-0.370026, 0.244192, 0.896354);(-0.030, 0.000, 0.000);(0.030, 0.000, 0.000)
1683584674338;(-0.007196, 1.317599, -0.239997);(0.000000, 0.000000, 0.000000, 1.000000);(0.006545, 0.042803, 0.999062);0.0901008;0;0.4;2.5;(0.014408, 0.038548, 0.999153);(-0.433985, 0.299610, 0.849642);(-0.030, 0.000, 0.000);(0.030, 0.000, 0.000)
1683584674343;(-0.007196, 1.317599, -0.239997);(0.000000, 0.000000, 0.000000, 1.000000);(0.007003, 0.042709, 0.999063);0.07748765;0;0.4;2.4;(0.014312, 0.038703, 0.999148);(-0.445620, 0.357848, 0.820590);(-0.030, 0.000, 0.000);(0.030, 0.000, 0.000)
1683584674348;(-0.007196, 1.317599, -0.239997);(0.000000, 0.000000, 0.000000, 1.000000);(0.007147, 0.042238, 0.999082);0.07022454;0;0.4;2.4;(0.013817, 0.038656, 0.999157);(-0.498681, 0.371721, 0.783033);(-0.030, 0.000, 0.000);(0.030, 0.000, 0.000)
1683584674353;(-0.007196, 1.317599, -0.239997);(0.000000, 0.000000, 0.000000, 1.000000);(0.004938, 0.042972, 0.999064);0.09716024;0;0.3;2.5;(0.013557, 0.038632, 0.999162);(-0.374885, 0.303074, 0.876132);(-0.030, 0.000, 0.000);(0.030, 0.000, 0.000)
1683584674358;(-0.007196, 1.317599, -0.239997);(0.000000, 0.000000, 0.000000, 1.000000);(0.005005, 0.042138, 0.999099);0.1011154;0;0.3;2.4;(0.013350, 0.038614, 0.999165);(-0.358963, 0.295946, 0.885190);(-0.030, 0.000, 0.000);(0.030, 0.000, 0.000)
1683584674363;(-0.007196, 1.317599, -0.239997);(0.000000, 0.000000, 0.000000, 1.000000);(0.004904, 0.041591, 0.999123);0.1188397;0;0.3;2.4;(0.012388, 0.038511, 0.999181);(-0.358815, 0.234960, 0.903352);(-0.030, 0.000, 0.000);(0.030, 0.000, 0.000)
1683584674368;(-0.007196, 1.317599, -0.239997);(0.000000, 0.000000, 0.000000, 1.000000);(0.005584, 0.041676, 0.999116);0.1291795;0;0.3;2.4;(0.012668, 0.038685, 0.999171);(-0.361864, 0.195459, 0.911510);(-0.030, 0.000, 0.000);(0.030, 0.000, 0.000)
1683584674373;(-0.007196, 1.317599, -0.239997);(0.000000, 0.000000, 0.000000, 1.000000);(0.005593, 0.041298, 0.999131);0.1385344;0;0.3;2.4;(0.012009, 0.038624, 0.999182);(-0.363613, 0.156716, 0.918273);(-0.030, 0.000, 0.000);(0.030, 0.000, 0.000)
1683584674378;(-0.007196, 1.317599, -0.239997);(0.000000, 0.000000, 0.000000, 1.000000);(0.005500, 0.040656, 0.999158);2;0;0.3;2.3;(0.011226, 0.038468, 0.999197);;(-0.030, 0.000, 0.000);(0.000, 0.000, 0.000)
1683584674383;(-0.007196, 1.317599, -0.239997);(0.000000, 0.000000, 0.000000, 1.000000);(0.006294, 0.040950, 0.999141);2;0;0.4;2.3;(0.012628, 0.038703, 0.999171);;(-0.030, 0.000, 0.000);(0.000, 0.000, 0.000)
1683584674388;(-0.007196, 1.317599, -0.239997);(0.000000, 0.000000, 0.000000, 1.000000);(0.007546, 0.041219, 0.999122);2;0;0.4;2.4;(0.013552, 0.038975, 0.999148);;(-0.030, 0.000, 0.000);(0.000, 0.000, 0.000)
1683584674393;(-0.007196, 1.317599, -0.239997);(0.000000, 0.000000, 0.000000, 1.000000);(0.008121, 0.041667, 0.999099);2;0;0.5;2.4;(0.013875, 0.038888, 0.999147);(0.012897, 0.059781, 0.998128);(-0.030, 0.000, 0.000);(0.030, 0.000, 0.000)
1683584674398;(-0.007196, 1.317599, -0.239997);(0.000000, 0.000000, 0.000000, 1.000000);(0.008230, 0.041019, 0.999125);2;0;0.5;2.4;(0.013688, 0.039018, 0.999145);(0.009777, 0.023117, 0.999685);(-0.030, 0.000, 0.000);(0.030, 0.000, 0.000)
