CaptureTime;HeadsetPos;HeadsetRotation;CombinedGazeForward;FocusDistance;FocusStability;CalcXEccentricity;CalcYEccentricity
1684788095559;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.115555, 0.093241, 0.988915);2;0;6.664820;5.386291
1684788095564;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.114131, 0.093881, 0.989020);2;0;6.582727;5.422478
1684788095574;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.113376, 0.094516, 0.989046);2;0;6.539339;5.458794
1684788095579;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.112990, 0.095126, 0.989032);2;0;6.517393;5.493839
1684788095584;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.112807, 0.095733, 0.988994);2;0;6.507147;5.528900
1684788095589;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.112776, 0.096372, 0.988936);2;0;6.505750;5.565927
1684788095594;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.112753, 0.096858, 0.988891);2;0;6.504771;5.594037
1684788095599;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.112748, 0.097387, 0.988840);2;0;6.504823;5.624714
1684788095604;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.112869, 0.097765, 0.988789);2;0;6.512031;5.646699
1684788095609;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.112952, 0.098143, 0.988742);0.4632235;0;6.517108;5.668618
1684788095614;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.113066, 0.098470, 0.988696);0.4580403;0;6.523942;5.687681
1684788095624;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.113230, 0.098759, 0.988648);0.4541768;0;6.533593;5.704530
1684788095629;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.113390, 0.099084, 0.988598);0.4513395;0.2506177;6.543105;5.723454
1684788095634;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.113569, 0.099391, 0.988546);0.4494158;0.5928582;6.553681;5.741388
1684788095639;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.113714, 0.099602, 0.988508);0.4499721;0.884023;6.562210;5.753721
1684788095644;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.113874, 0.099723, 0.988478);0.4526614;0.9113239;6.571596;5.760812
1684788095649;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.113960, 0.099837, 0.988456);0.4519997;0.9907652;6.576640;5.767456
1684788095654;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.114063, 0.099985, 0.988429);0.4515654;1;6.582709;5.776116
1684788095659;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.114160, 0.100115, 0.988405);0.451223;1;6.588440;5.783731
1684788095664;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.114261, 0.100279, 0.988377);0.4499947;1;6.594389;5.793318
1684788095669;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.114346, 0.100379, 0.988357);0.4509421;1;6.599388;5.799160
1684788095679;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.114407, 0.100540, 0.988333);0.4500262;1;6.603018;5.808553
1684788095684;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.114464, 0.100604, 0.988320);0.4523304;1;6.606352;5.812298
1684788095689;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.114529, 0.100657, 0.988307);0.4550047;1;6.610156;5.815405
1684788095694;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.114606, 0.100683, 0.988296);0.4587277;1;6.614663;5.816930
1684788095699;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.114676, 0.100693, 0.988287);0.4637112;1;6.618750;5.817579
1684788095704;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.114722, 0.100685, 0.988282);0.4675803;1;6.621389;5.817171
1684788095709;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.114756, 0.100702, 0.988276);0.4710045;1;6.623351;5.818187
1684788095714;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.114778, 0.100677, 0.988276);0.4741241;1;6.624642;5.816714
1684788095719;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.114799, 0.100644, 0.988277);0.4771726;1;6.625814;5.814813
1684788095729;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.114804, 0.100598, 0.988281);0.4795311;1;6.626090;5.812140
1684788095734;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.114809, 0.100552, 0.988286);0.4817209;1;6.626315;5.809517
1684788095739;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.114830, 0.100520, 0.988286);0.4831088;1;6.627521;5.807655
1684788095744;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.114852, 0.100493, 0.988286);0.4839596;1;6.628818;5.806104
1684788095749;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.114865, 0.100462, 0.988288);0.4846957;1;6.629550;5.804343
1684788095754;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.114891, 0.100413, 0.988290);0.4854941;1;6.630971;5.801517
1684788095759;(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);(0.114943, 0.100350, 0.988290);0.4868578;1;6.633965;5.797905
